Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility
Steuart Hill,,,,,,-1,-1,-1
Langston Hughes,,,,,,-1,-1,-1
Cecil,,,,,,-1,-1,-1
City Springs,,,,,,-1,-1,-1
James McHenry,,,,,,-1,-1,-1
Eutaw-Marshburn,,,,,,-1,-1,-1
Lakeland,,,,,,-1,-1,-1
Tench Tilghman,,,,,,-1,-1,-1
Stadium School,,,,,,-1,-1,-1
Johnston Square,,,,,,-1,-1,-1
Hilton,,,,,,-1,-1,-1
George Washington,,,,,,-1,-1,-1
Wolfe Street Academy,,,,,,-1,-1,-1
Westside,,,,,,-1,-1,-1
Dr. Rayner Browne,,,,,,-1,-1,-1
Commodore John Rodgers,,,,,,-1,-1,-1
William Pinderhughes,,,,,,-1,-1,-1
Matthew A. Henson,,,,,,-1,-1,-1
Coldstream Park,,,,,,-1,-1,-1
Charles Carroll Barrister,,,,,,-1,-1,-1
Harlem Park,,,,,,-1,-1,-1
Harford Heights,,,,,,-1,-1,-1
Dallas F. Nicholas Sr.,,,,,,-1,-1,-1
Garrison,,,,,,-1,-1,-1
Montebello,,,,,,-1,-1,-1
Federal Hill,,,,,,-1,-1,-1
Hampstead Hill Academy,,,,,,-1,-1,-1
Northeast,,,,,,-1,-1,-1
Abbottston,,,,,,-1,-1,-1
Waverly,,,,,,-1,-1,-1
Margaret Brent,,,,,,-1,-1,-1
Barclay,,,,,,-1,-1,-1
Hampden,,,,,,-1,-1,-1
Dr. Nathan A. Pitts-Ashburton,,,,,,-1,-1,-1
Gwynns Falls,,,,,,-1,-1,-1
John Eager Howard,,,,,,-1,-1,-1
Edgecombe Circle,,,,,,-1,-1,-1
Rosemont,,,,,,-1,-1,-1
Liberty,,,,,,-1,-1,-1
Mount Royal,,,,,,-1,-1,-1
Edgewood,,,,,,-1,-1,-1
Sarah M. Roach,,,,,,-1,-1,-1
Calverton,,,,,,-1,-1,-1
Francis Scott Key,,,,,,-1,-1,-1
North Bend,,,,,,-1,-1,-1
William Paca,,,,,,-1,-1,-1
Thomas Johnson,,,,,,-1,-1,-1
Fort Worthington,,,,,,-1,-1,-1
Lakewood,,,,,,-1,-1,-1
Windsor Hills,,,,,,-1,-1,-1
Lyndhurst,,,,,,-1,-1,-1
Rognel Heights,,,,,,-1,-1,-1
Franklin Square,,,,,,-1,-1,-1
Collington Square,,,,,,-1,-1,-1
Samuel F.B. Morse,,,,,,-1,-1,-1
Moravia Park,,,,,,-1,-1,-1
Gilmor,,,,,,-1,-1,-1
Samuel Coleridge-Taylor,,,,,,-1,-1,-1
Bay-Brook,,,,,,-1,-1,-1
Furman L Templeton,,,,,,-1,-1,-1
Booker T. Washington,,,,,,-1,-1,-1
Walter P. Carter,,,,,,-1,-1,-1
Robert W. Coleman,,,,,,-1,-1,-1
James Mosher,,,,,,-1,-1,-1
Alexander Hamilton,,,,,,-1,-1,-1
Mary Ann Winterling,,,,,,-1,-1,-1
Cherry Hill,,,,,,-1,-1,-1
Dr. Carter Godwin Woodson,,,,,,-1,-1,-1
Patapsco,,,,,,-1,-1,-1
Arundel,,,,,,-1,-1,-1
George W.F. McMechen,,,,,,-1,-1,-1
Excel Academy @ Francis M. Wood,,,,,,-1,-1,-1
Southside Academy,,,,,,-1,-1,-1
Dickey Hill,,,,,,-1,-1,-1
Maree Garnett Farring,,,,,,-1,-1,-1
Mary E. Rodman,,,,,,-1,-1,-1
Woodhome,,,,,,-1,-1,-1
Furley,,,,,,-1,-1,-1
Curtis Bay,,,,,,-1,-1,-1
Hazelwood,,,,,,-1,-1,-1
Gardenville,,,,,,-1,-1,-1
Garrett Heights,,,,,,-1,-1,-1
Govans,,,,,,-1,-1,-1
Guilford,,,,,,-1,-1,-1
Highlandtown #215,,,,,,-1,-1,-1
Belmont,,,,,,-1,-1,-1
Yorkwood,,,,,,-1,-1,-1
Morrell Park,,,,,,-1,-1,-1
Mount Washington,,,,,,-1,-1,-1
Pimlico,,,,,,-1,-1,-1
Grove Park,,,,,,-1,-1,-1
Westport,,,,,,-1,-1,-1
Violetville,,,,,,-1,-1,-1
John Ruhrah,,,,,,-1,-1,-1
Holabird,,,,,,-1,-1,-1
Brehms Lane,,,,,,-1,-1,-1
Thomas Jefferson,,,,,,-1,-1,-1
Roland Park,,,,,,-1,-1,-1
Arlington,,,,,,-1,-1,-1
Glenmount,,,,,,-1,-1,-1
Hamilton,,,,,,-1,-1,-1
Highlandtown #237,,,,,,-1,-1,-1
Benjamin Franklin #239 @ Masonville Cove,,,,,,-1,-1,-1
Graceland Park / O'Donnell Heights,,,,,,-1,-1,-1
Fallstaff,,,,,,-1,-1,-1
Northwood,,,,,,-1,-1,-1
Armistead Garden,,,,,,-1,-1,-1
Leith Walk,,,,,,-1,-1,-1
Beechfield,,,,,,-1,-1,-1
Cross Country,,,,,,-1,-1,-1
Sinclair Lane,,,,,,-1,-1,-1
Medfield Heights,,,,,,-1,-1,-1
Dr. Bernard Harris Sr.,,,,,,-1,-1,-1
Callaway,,,,,,-1,-1,-1
Dr. Martin Luther King Jr,,,,,,-1,-1,-1
Calvin  M. Rodwell,,,,,,-1,-1,-1
Frederick,,,,,,-1,-1,-1
Lockerman Bundy,,,,,,-1,-1,-1
Empowerment Academy,,,,,,-1,-1,-1
William C. March,,,,,,-1,-1,-1
William S. Baer School,,,,,,-1,-1,-1
Claremont School,,,,,,-1,-1,-1
Lois T. Murray,,,,,,-1,-1,-1
Sharp Leadenhall,,,,,,-1,-1,-1
Midtown Academy,,,,,,-1,-1,-1
New Song Academy,,,,,,-1,-1,-1
The Crossroads School,,,,,,-1,-1,-1
Kipp Ujima Village Academy,,,,,,-1,-1,-1
ConneXions Community Leadership Acad,,,,,,-1,-1,-1
City Neighbors Charter School,,,,,,-1,-1,-1
Patterson Park Public Charter School,,,,,,-1,-1,-1
Southwest Baltimore Charter School,,,,,,-1,-1,-1
Inner Harbor East Academy,,,,,,-1,-1,-1
Northwood Appold Community Academy,,,,,,-1,-1,-1
MATHS (MD Academy of Technology & Health Sciences),,,,,,-1,-1,-1
The Green School,,,,,,-1,-1,-1
Independence School Local I,,,,,,-1,-1,-1
Bluford Drew Jemison MST Academy,,,,,,-1,-1,-1
Baltimore International Academy,,,,,,-1,-1,-1
Baltimore Montessori Public Charter School,,,,,,-1,-1,-1
Afya Public Chater School,,,,,,-1,-1,-1
"Friendship Academy of Math, Science and Technology",,,,,,-1,-1,-1
Friendship Academy of Engineering & Technology,,,,,,-1,-1,-1
REACH! Partnership School,,,,,,-1,-1,-1
"KASA Knowledge, Achievement,  Success Acad",,,,,,-1,-1,-1
Baltimore CIVITAS,,,,,,-1,-1,-1
Baltimore Rising Star Academy,,,,,,-1,-1,-1
New Hope Academy,,,,,,-1,-1,-1
City Neighbors Hamilton,,,,,,-1,-1,-1
KIPP Harmony,,,,,,-1,-1,-1
Baltimore Leadership School for Young Women,,,,,,-1,-1,-1
NACA Freedom and Democracy Academy II,,,,,,-1,-1,-1
Bluford Drew Jemison STEM Academy West,,,,,,-1,-1,-1
Baltimore Liberation Diploma Plus HS,,,,,,-1,-1,-1
Baltimore Antioch Diploma Plus HS,,,,,,-1,-1,-1
Baltimore Community HS,,,,,,-1,-1,-1
East Baltimore Community School,,,,,,-1,-1,-1
Tunbridge Public Charter School,,,,,,-1,-1,-1
Vanguard Collegiate MS,,,,,,-1,-1,-1
City Neighbors HS,,,,,,-1,-1,-1
Green Street Academy,,,,,,-1,-1,-1
Baltimore IT Academy,,,,,,-1,-1,-1
Edmondson Westside,,,,,,-1,-1,-1
Northwestern,,,,,,-1,-1,-1
Baltimore Polytechnic Institute,,,,,,-1,-1,-1
Patterson,,,,,,-1,-1,-1
Forest Park,,,,,,-1,-1,-1
Western,,,,,,-1,-1,-1
Mergenthaler Vocactional Technical,,,,,,-1,-1,-1
Achievement Academy @ Harbor City,,,,,,-1,-1,-1
Paul Laurence Dunbar,,,,,,-1,-1,-1
Baltimore School For The Arts,,,,,,-1,-1,-1
Digital Harbor,,,,,,-1,-1,-1
W.E.B. DuBois,,,,,,-1,-1,-1
Reginald F. Lewis School,,,,,,-1,-1,-1
The National Academy Foundation,,,,,,-1,-1,-1
New Era Academy,,,,,,-1,-1,-1
Baltimore Freedom Academy,,,,,,-1,-1,-1
Heritage,,,,,,-1,-1,-1
Academy For College and Career Exploration,,,,,,-1,-1,-1
Baltimore Talent Development,,,,,,-1,-1,-1
Vivien T. Thomas Medical Arts Academy,,,,,,-1,-1,-1
Augusta Fells Savage Institute of Visual Arts,,,,,,-1,-1,-1
Maritime Industries Academy,,,,,,-1,-1,-1
Coppin Academy,,,,,,-1,-1,-1
Renaissance Academy,,,,,,-1,-1,-1
Institute of Business and Entrepreneurship,,,,,,-1,-1,-1
Frederick Douglass,,,,,,-1,-1,-1
Carver Vocational Technical,,,,,,-1,-1,-1
Baltimore City College,,,,,,-1,-1,-1
